exp_id,MASE,SoftDTW,TPAloss,SQL,var,em,block,TPA,Neff,maxw
B11-M-190,0.0738244126674712,24.418779286737,0.4,0.0761486978409289,FCPI,EM16,A,0.6,1.0,1.0
B11-M-191,0.0337878229233949,-3.288254625376432,0.0,0.0655586123173068,FCPI,EM16,A,1.0,1.3243243243243241,0.8571428571428571
B11-M-192,0.3351346083488845,524.2218450568588,0.25,0.2586599571665551,FCPI,EM16,A,0.75,2.0,0.5
B11-M-193,0.1202582544059159,75.01163405843891,0.0,0.1189186087996753,FCPI,EM17,A,1.0,2.2727272727272725,0.6
B11-M-194,0.1482945436202169,102.7786717294386,0.0,0.1545056536948378,FCPI,EM17,A,1.0,1.942528735632184,0.6923076923076923
B11-M-195,0.0945605416584162,38.78159870180912,0.2,0.0830867158260143,FCPI,EM17,A,0.8,1.6,0.75
B11-M-196,0.0738037376588142,13.14347405693919,0.2,0.0730959865083486,FCPI,EM17,A,0.8,1.6,0.75
B11-M-197,0.1720446035157683,151.6399776827781,0.25,0.1863077622549193,FCPI,EM17,A,0.75,3.5217391304347827,0.3333333333333333
B11-M-198,0.1065266469821954,54.33434177897423,0.25,0.125567386938234,FCPI,EM17,A,0.75,1.6,0.75
B11-M-199,0.0661925168915565,2.767139314795896,0.2,0.0749772689775905,FCPI,EM18,A,0.8,1.0,1.0
B11-M-200,0.0570574111315333,-2.450525758310409,0.1666666666666666,0.0699601494329974,FCPI,EM18,A,0.8333333333333334,1.0,1.0
B11-M-201,0.0636817391040784,5.495859250555078,0.2,0.0690144137590422,FCPI,EM18,A,0.8,1.0,1.0
B11-M-202,1.791326953802177,15362.40436898904,0.4,1.2380054396486164,FCPI,EM18,A,0.6,1.0,1.0
B11-M-203,0.0931376959920571,43.71658631110029,0.25,0.081690938236277,FCPI,EM18,A,0.75,1.0,1.0
B11-M-204,0.1378233759805722,101.4906596265063,0.25,0.1068146507022685,FCPI,EM18,A,0.75,1.0,1.0
B11-M-205,0.2575564123654979,113.2795769446157,0.0,0.162103126440066,CCPI,EM2,A,1.0,1.582082324455206,0.7878787878787878
B11-M-206,0.2163946391629302,109.7945066312085,0.0,0.1408249078076458,CCPI,EM2,A,1.0,2.140105622864243,0.6506024096385542
B11-M-207,0.2402222773699496,140.2887332096567,0.0,0.1538118947284464,CCPI,EM2,A,1.0,1.8280792980175489,0.7066666666666667
B11-M-208,0.2704368480412638,203.9866679931469,0.0,0.1909952081643685,CCPI,EM2,A,1.0,3.6153846153846145,0.4574468085106383
B11-M-209,0.2467403531579543,186.8570097358249,0.0,0.1930224079190143,CCPI,EM2,A,1.0,3.3472073995019542,0.4948453608247423
B11-M-210,0.1427164457191158,70.24608341104668,0.0,0.120778642342675,CCPI,EM2,A,1.0,5.165998855180307,0.2631578947368421
B11-M-211,0.1567190950485764,33.20126595651004,0.0,0.1324118396611802,CCPI,EM3,A,1.0,1.9387755102040811,0.6947368421052632
B11-M-212,0.1595309964167755,60.19685370259123,0.0,0.1332246160063647,CCPI,EM3,A,1.0,2.381152231972528,0.5316455696202531
B11-M-213,0.2256253023670138,143.5724481531657,0.0,0.157052373146724,CCPI,EM3,A,1.0,2.1706720977596743,0.4931506849315068
B11-M-214,0.1566219066837769,90.1633070795724,0.0,0.1616297469251941,CCPI,EM3,A,1.0,2.977280550774526,0.5161290322580645
B11-M-215,0.2794329219914848,232.8750571542393,0.0,0.2376676191114269,CCPI,EM3,A,1.0,2.7862007699141236,0.5257731958762887
B11-M-216,0.1361610558366988,52.01415239882454,0.5,0.1123573910716952,CCPI,EM3,A,0.5,3.4940600978336813,0.43
B11-M-217,0.2575564123654979,113.2795769446157,0.0,0.162103126440066,CCPI,EM4,A,1.0,1.582082324455206,0.7878787878787878
B11-M-218,0.2148785508927937,108.1023950493599,0.0,0.1401481884724412,CCPI,EM4,A,1.0,2.2101379531600895,0.6385542168674699
